FungusID,Species,PaperID,Temperature,Time,Radius
DF42_33_2,DF42,24,33,96,10.5
DF42_33_2,DF42,24,33,144,13
DF42_33_2,DF42,24,33,216,17
DF42_33_2,DF42,24,33,264,20.5
DF42_33_2,DF42,24,33,312,23.5
C33_33_1,C33,25,33,48,6
C33_33_1,C33,25,33,96,9
C33_33_1,C33,25,33,144,11
C33_33_1,C33,25,33,216,14.5
C33_33_1,C33,25,33,264,16
C33_33_1,C33,25,33,312,17
C33_33_2,C33,26,33,48,6
C33_33_2,C33,26,33,96,9
C33_33_2,C33,26,33,144,12.5
C33_33_2,C33,26,33,216,16.5
C33_33_2,C33,26,33,264,19.5
C33_33_2,C33,26,33,312,22
DF19_33_1,DF19,27,33,48,11
DF19_33_1,DF19,27,33,96,16
DF19_33_1,DF19,27,33,144,18
DF19_33_1,DF19,27,33,216,20
DF19_33_1,DF19,27,33,264,24.5
DF19_33_1,DF19,27,33,312,32
DF19_33_2,DF19,28,33,48,10.5
DF19_33_2,DF19,28,33,96,17
DF19_33_2,DF19,28,33,144,20
DF19_33_2,DF19,28,33,216,27
DF19_33_2,DF19,28,33,264,35
DF19_33_2,DF19,28,33,312,42
DF04_33_1,DF04,29,33,48,6
DF04_33_1,DF04,29,33,96,6.5
DF04_33_1,DF04,29,33,144,6.5
DF04_33_1,DF04,29,33,216,7
DF04_33_1,DF04,29,33,264,7.5
DF04_33_1,DF04,29,33,312,7.5
DF04_33_2,DF04,30,33,48,5.5
DF04_33_2,DF04,30,33,96,6.5
DF04_33_2,DF04,30,33,144,7
DF04_33_2,DF04,30,33,216,7
DF04_33_2,DF04,30,33,264,7.5
DF04_33_2,DF04,30,33,312,7.5
DF24_33_1,DF24,31,33,48,6
DF24_33_1,DF24,31,33,96,6
DF24_33_1,DF24,31,33,144,6.5
DF24_33_1,DF24,31,33,216,7
DF24_33_1,DF24,31,33,264,7.5
DF24_33_1,DF24,31,33,312,8.5
DF24_33_2,DF24,32,33,48,5
DF24_33_2,DF24,32,33,96,5
DF24_33_2,DF24,32,33,144,5.5
DF24_33_2,DF24,32,33,216,6
DF24_33_2,DF24,32,33,264,7
DF24_33_2,DF24,32,33,312,8
C29_33_1,C29,33,33,48,4.5
C29_33_1,C29,33,33,96,4.5
C29_33_1,C29,33,33,144,5
C29_33_1,C29,33,33,216,5
C29_33_1,C29,33,33,264,5.5
C29_33_1,C29,33,33,312,5.5
C29_33_2,C29,34,33,48,3.5
C29_33_2,C29,34,33,96,3.5
C29_33_2,C29,34,33,144,4
C29_33_2,C29,34,33,216,4
C29_33_2,C29,34,33,264,4
C29_33_2,C29,34,33,312,4.5
C13_33_1,C13,35,33,48,8
C13_33_1,C13,35,33,96,12.5
C13_33_1,C13,35,33,144,13
C13_33_1,C13,35,33,216,16
C13_33_1,C13,35,33,264,21
C13_33_1,C13,35,33,312,26.5
C13_33_2,C13,36,33,48,9
C13_33_2,C13,36,33,96,12.5
C13_33_2,C13,36,33,144,14
C13_33_2,C13,36,33,216,18
C13_33_2,C13,36,33,264,21.5
C13_33_2,C13,36,33,312,26
C35_33_1,C35,37,33,48,7
C35_33_1,C35,37,33,96,9
C35_33_1,C35,37,33,144,9
C35_33_1,C35,37,33,216,9.5
C35_33_1,C35,37,33,264,9.5
